Passengers,Dist2Sta,Rooms,Area,Age,TransYear,TransQ,CPI,Value
27120.9,16.0,5.0,95,48.0,2022,3,102.3,2200.0
27120.9,14.0,4.0,85,48.0,2022,2,102.3,2200.0
27120.9,13.0,4.0,90,12.0,2022,2,102.3,5800.0
27120.9,13.0,5.0,105,10.0,2022,1,102.3,5600.0
27120.9,13.0,4.0,85,9.0,2021,4,99.8,5300.0
27120.9,13.0,4.0,75,9.0,2021,3,99.8,4400.0
27120.9,14.0,,80,11.0,2021,3,99.8,4300.0
27120.9,13.0,4.0,75,11.0,2021,1,99.8,4000.0
27120.9,13.0,4.0,85,10.0,2020,3,100.0,5700.0
27120.9,13.0,4.0,70,45.0,2019,4,100.0,750.0
27120.9,14.0,4.0,70,45.0,2019,4,100.0,1800.0
27120.9,14.0,5.0,90,45.0,2019,4,100.0,2300.0
27120.9,15.0,,70,45.0,2019,3,100.0,2000.0
95281.1,9.0,4.0,75,13.0,2024,1,108.0,4500.0
95281.1,9.0,3.0,55,29.0,2023,2,105.6,2800.0
95281.1,11.0,4.0,75,24.0,2021,1,99.8,3500.0
95281.1,12.0,5.0,80,22.0,2020,2,100.0,3800.0
95281.1,9.0,4.0,80,8.0,2019,4,100.0,4800.0
95281.1,10.0,2.0,35,21.0,2019,4,100.0,1500.0
95281.1,11.0,,75,22.0,2019,2,100.0,2700.0
10347.9,15.0,2.0,50,39.0,2023,2,105.6,1700.0
10347.9,13.0,5.0,90,11.0,2022,3,102.3,4300.0
10347.9,13.0,,85,16.0,2022,3,102.3,3400.0
10347.9,11.0,4.0,70,16.0,2022,2,102.3,3400.0
10347.9,12.0,4.0,80,10.0,2021,4,99.8,3600.0
10347.9,12.0,4.0,70,15.0,2021,3,99.8,3100.0
10347.9,13.0,4.0,70,10.0,2021,2,99.8,3400.0
10347.9,12.0,4.0,70,,2021,2,99.8,3100.0
10347.9,13.0,4.0,70,10.0,2021,2,99.8,3500.0
10347.9,14.0,2.0,75,37.0,2021,2,99.8,3100.0
10347.9,13.0,4.0,75,15.0,2021,2,99.8,3200.0
10347.9,11.0,4.0,80,15.0,2021,1,99.8,3300.0
10347.9,15.0,4.0,75,20.0,2020,4,100.0,2500.0
10347.9,13.0,4.0,80,9.0,2020,4,100.0,3500.0
10347.9,13.0,4.0,70,9.0,2020,3,100.0,3300.0
10347.9,11.0,3.0,75,8.0,2019,3,100.0,4100.0
10347.9,11.0,4.0,70,13.0,2019,1,100.0,3300.0
10347.9,14.0,4.0,70,19.0,2019,1,100.0,2500.0
95281.1,13.0,4.0,85,26.0,2023,3,105.6,4200.0
95281.1,13.0,4.0,75,26.0,2023,1,105.6,3300.0
95281.1,16.0,4.0,75,25.0,2020,3,100.0,3900.0
95281.1,15.0,4.0,75,24.0,2019,4,100.0,2900.0
95281.1,19.0,,75,24.0,2019,2,100.0,2600.0
95281.1,13.0,4.0,65,26.0,2024,1,108.0,3000.0
95281.1,9.0,4.0,70,24.0,2021,3,99.8,4300.0
12225.7,14.0,3.0,65,1.0,2023,3,105.6,6000.0
12225.7,12.0,,70,26.0,2023,2,105.6,2400.0
12225.7,14.0,,70,25.0,2023,2,105.6,2300.0
12225.7,12.0,4.0,70,26.0,2023,1,105.6,3200.0
12225.7,14.0,,80,24.0,2022,4,102.3,2500.0
12225.7,12.0,4.0,70,25.0,2022,1,102.3,3200.0
12225.7,12.0,4.0,70,24.0,2021,3,99.8,2100.0
12225.7,12.0,4.0,70,24.0,2021,2,99.8,2800.0
12225.7,14.0,4.0,70,22.0,2020,1,100.0,2100.0
12225.7,12.0,,90,23.0,2020,1,100.0,2500.0
10011.6,15.0,4.0,75,29.0,2024,1,108.0,2900.0
15629.818181818182,7.0,2.0,15,27.0,2021,4,99.8,650.0
15629.818181818182,6.0,4.0,65,23.0,2019,4,100.0,2900.0
15629.818181818182,7.0,2.0,20,25.0,2019,3,100.0,470.0
23739.8,8.0,4.0,75,20.0,2022,4,102.3,4800.0
23739.8,8.0,5.0,95,19.0,2021,3,99.8,4500.0
23739.8,8.0,4.0,75,23.0,2020,2,100.0,3200.0
23739.8,8.0,4.0,70,22.0,2019,2,100.0,2900.0
15629.818181818182,4.0,,60,45.0,2024,1,108.0,2000.0
15629.818181818182,4.0,4.0,60,43.0,2022,1,102.3,2900.0
15629.818181818182,4.0,3.0,50,23.0,2021,4,99.8,2800.0
15629.818181818182,3.0,3.0,50,23.0,2021,4,99.8,2500.0
15629.818181818182,3.0,,50,23.0,2021,3,99.8,1700.0
15629.818181818182,2.0,4.0,35,24.0,2021,2,99.8,4100.0
