,評定者,対象,小さい,綺麗,癒し,柔らかい,ふわふわ,あたたかい,お洒落,美しい,優しい,女の子らしい,素敵,丸い,きらきら,無邪気,和み,幼い,華やか
112,Gt+RIPOxE,ネイル,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
113,AQyJT8wuY,甘いもの,-2,0,2,2,2,2,1,1,1,2,-1,0,-2,-2,2,2,0
114,KvU4uz9zm,インコ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2
115,6rimPm3+0,マニキュア,1,1,-1,-2,-2,-2,2,2,-1,1,1,-2,-2,-2,-2,-2,1
116,k3p2ZrXM0,キャラクター,-1,-1,1,-2,-1,-1,0,0,0,-1,0,-2,0,0,1,-2,-1
117,7U+LCg3y8,バッグ,-2,2,0,-2,-2,-2,2,2,-2,2,2,-2,0,-2,-2,-2,-1
118,E2PLla6IW,ブタ,1,-1,2,-1,-2,2,-2,-2,-1,-2,1,2,1,0,2,0,0
119,5t11p+6tE,ハートやリボンがモチーフのアクセサリー,2,2,1,-1,0,2,0,1,2,2,2,1,0,0,1,1,2
120,F2seKdTJG,赤ちゃん,2,-2,2,2,2,2,-2,-2,2,1,-2,2,2,2,2,2,1
121,/PHWjtxQs,洋服,2,2,2,2,2,2,2,2,2,2,2,-1,-1,2,2,2,2
122,c5CsQRoM+,モデル・女優,0,2,1,1,1,0,2,2,0,1,2,-1,2,0,1,0,2
123,Kd5ICgpJS,幼児,2,-2,0,0,0,1,-2,-2,-1,-1,1,1,2,2,0,2,-1
124,Qwt1NaTQw,動物,1,-1,2,2,2,2,-2,-1,-2,-2,0,-2,-2,2,2,-2,-2
125,hx3923eKu,青系統の色のもの,0,2,0,0,-1,-1,2,2,0,-1,2,0,0,0,2,-1,0
126,tMFkHybly,イナズマイレブン,0,0,2,0,-1,2,-1,2,2,-2,2,-1,2,2,2,2,1
127,68qJcFZve,レース,-1,1,-1,2,2,-1,2,1,-2,2,1,-1,-2,-2,-2,-2,2
128,obSIK8Bry,赤ちゃん,2,2,2,2,2,2,-1,0,2,0,0,2,0,2,2,2,-1
129,DDEtD7JlW,うさぎ,0,0,2,0,0,2,-2,-1,0,0,2,-2,0,2,2,-1,0
130,nEo1hVR42,その他の猫,1,0,2,1,1,1,-2,1,-2,1,1,0,0,1,2,0,-1
131,ThSFP/7c6,ブタ,2,-2,-2,2,2,2,2,2,-2,-2,-2,2,-1,1,2,-1,-1
132,AQyJT8wuY,小動物,2,1,2,2,2,2,-1,1,1,2,1,2,-1,1,2,2,-1
133,6rimPm3+0,ぬいぐるみ,2,-1,2,2,2,1,-1,-1,0,1,-1,1,-2,-1,0,1,-2
134,/PHWjtxQs,ぬいぐるみ,2,2,2,2,2,2,2,2,2,2,2,-2,-2,2,2,2,2
135,7U+LCg3y8,サンダル,-2,1,-2,-2,-2,-2,2,2,-2,2,2,-2,-1,-2,-2,-2,2
136,Gt+RIPOxE,花柄,2,2,2,2,0,2,1,2,2,2,1,1,2,2,2,-1,2
137,c5CsQRoM+,赤ちゃん,2,2,2,2,2,2,-1,2,2,1,2,2,0,2,2,2,-1
138,Fw8SEx7Kc,ピンク色の小物,1,2,2,0,2,2,2,2,2,2,2,0,-1,-2,-2,-1,0
139,Z2uCV4nI+,花,0,1,1,-2,-2,-2,-2,2,-2,1,1,-2,1,-2,0,-2,2
140,7evdA3bIQ,赤ちゃん,2,0,2,2,2,2,-2,0,2,0,2,2,2,2,2,2,2
141,Qwt1NaTQw,友達,-2,2,1,-2,-2,2,2,2,2,2,2,-2,-2,1,1,-2,0
142,Kd5ICgpJS,レース,1,2,-1,2,2,2,2,2,2,2,2,0,2,-2,-1,-1,2
143,68qJcFZve,モデルさん,-1,2,-1,-1,-1,-1,2,2,-1,1,2,-1,2,-1,-1,-1,2
144,/PHWjtxQs,声,2,2,2,2,2,2,2,2,2,2,2,-2,-2,2,2,2,2
145,nEo1hVR42,爬虫類（蛇・とかげ）,1,1,2,-2,-2,-2,-1,2,-2,-2,2,0,-1,-1,2,-1,-2
146,hx3923eKu,キャラクター,1,2,1,1,1,1,2,2,2,-2,2,-1,2,-1,-1,-1,2
147,7evdA3bIQ,子供,2,-1,2,2,2,2,-2,2,2,-1,2,2,2,2,2,2,2
148,c5CsQRoM+,アクセサリー,2,2,2,-1,-1,-2,2,2,0,2,2,1,2,-1,-1,-2,2
149,obSIK8Bry,小さいアクセサリー,2,2,2,1,0,2,2,2,1,2,2,-1,2,-1,2,-1,0
150,6rimPm3+0,スヌーピー,2,-1,1,0,0,0,1,-1,1,0,1,0,-2,1,0,0,-2
151,DDEtD7JlW,ねこ,1,0,2,1,1,2,-1,0,2,1,0,-2,-1,2,2,-1,0
152,7evdA3bIQ,犬,-1,2,2,2,2,2,-1,2,2,-1,2,0,2,2,2,2,2
153,Fw8SEx7Kc,ガーリーな雑貨,0,2,2,2,2,0,2,2,2,2,2,-1,-2,-2,-2,0,1
154,nEo1hVR42,小さいもの,2,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,0
155,Ivxlf4VuU,ペットのインコたちが寝てるとき,1,-1,2,2,2,1,-2,-2,1,-1,-1,2,-1,0,2,1,-2
156,obSIK8Bry,スニーカーが似合うこと,2,0,2,2,2,1,2,0,1,2,2,1,2,2,1,1,1
157,DDEtD7JlW,犬,1,0,2,1,0,2,0,0,2,0,1,-1,0,2,2,0,0
158,nEo1hVR42,ロリータ・ゴスロリ,0,2,1,1,2,0,2,2,2,1,2,0,0,-1,0,0,2
