,station,to_station,#_of_rooms,floor_plan,area,tx.yr.,age,bldg.struct.,LUZ,renovation,price
844,甲陽園,3.0,5.0,４ＬＤＫ,90.0,2020.0,20.0,ＲＣ,２低住専,改装済み,5000.0
846,甲陽園,18.0,4.0,３ＬＤＫ,120.0,2025.0,34.0,ＲＣ,１中住専,未改装,2300.0
847,甲陽園,13.0,4.0,３ＬＤＫ,125.0,2024.0,11.0,ＲＣ,１中住専,改装済み,4900.0
849,甲陽園,15.0,3.0,２ＬＤＫ,70.0,2024.0,26.0,ＲＣ,１中住専,未改装,2400.0
851,甲陽園,13.0,4.0,３ＬＤＫ,80.0,2023.0,10.0,ＲＣ,１中住専,未改装,2600.0
852,甲陽園,13.0,4.0,３ＬＤＫ,125.0,2023.0,10.0,ＲＣ,１中住専,未改装,5600.0
853,甲陽園,15.0,4.0,３ＬＤＫ,75.0,2023.0,10.0,ＲＣ,１中住専,未改装,3100.0
855,甲陽園,13.0,4.0,３ＬＤＫ,75.0,2023.0,10.0,ＲＣ,１中住専,改装済み,2600.0
856,甲陽園,15.0,4.0,３ＬＤＫ,75.0,2022.0,9.0,ＲＣ,１中住専,改装済み,2700.0
857,甲陽園,15.0,5.0,４ＬＤＫ,100.0,2022.0,24.0,ＲＣ,１中住専,未改装,2800.0
858,甲陽園,13.0,4.0,３ＬＤＫ,105.0,2022.0,9.0,ＲＣ,１中住専,未改装,4100.0
860,甲陽園,15.0,4.0,３ＬＤＫ,95.0,2021.0,8.0,ＲＣ,１中住専,未改装,3000.0
863,甲陽園,15.0,4.0,３ＬＤＫ,75.0,2021.0,8.0,ＲＣ,１中住専,改装済み,2900.0
864,甲陽園,14.0,4.0,３ＬＤＫ,80.0,2021.0,8.0,ＲＣ,１中住専,改装済み,3100.0
867,甲陽園,14.0,4.0,３ＬＤＫ,80.0,2020.0,7.0,ＲＣ,１中住専,改装済み,2700.0
868,甲陽園,14.0,4.0,３ＬＤＫ,85.0,2020.0,7.0,ＲＣ,１中住専,未改装,3400.0
869,甲陽園,12.0,5.0,４ＬＤＫ,80.0,2020.0,15.0,ＲＣ,１低住専,未改装,2900.0
870,甲陽園,4.0,3.0,２ＬＤＫ,65.0,2025.0,26.0,ＲＣ,近隣商業,未改装,3400.0
871,甲陽園,4.0,5.0,４ＬＤＫ,90.0,2025.0,26.0,ＲＣ,近隣商業,改装済み,6200.0
