,station,to_station,#_of_rooms,floor_plan,area,tx.yr.,age,bldg.struct.,LUZ,renovation,price
8556,西宮(ＪＲ),7.0,3.0,２ＬＤＫ,70.0,2012.0,14.0,ＳＲＣ,近隣商業,未改装,2800.0
8557,西宮(ＪＲ),7.0,4.0,３ＬＤＫ,85.0,2012.0,14.0,ＳＲＣ,近隣商業,改装済み,3600.0
8558,西宮(ＪＲ),7.0,3.0,２ＬＤＫ,70.0,2012.0,14.0,ＳＲＣ,近隣商業,未改装,3200.0
8559,西宮(ＪＲ),7.0,4.0,３ＬＤＫ,80.0,2012.0,14.0,ＳＲＣ,近隣商業,未改装,3500.0
8560,西宮(阪神),5.0,4.0,３ＬＤＫ,85.0,2012.0,14.0,ＳＲＣ,近隣商業,未改装,3700.0
8561,西宮(阪神),4.0,3.0,２ＬＤＫ,70.0,2012.0,14.0,ＳＲＣ,近隣商業,未改装,2500.0
8562,甲陽園,14.0,4.0,３ＬＤＫ,60.0,2012.0,36.0,ＲＣ,１中住専,改装済み,960.0
8563,夙川,6.0,4.0,３ＬＤＫ,70.0,2012.0,8.0,ＲＣ,１中住専,未改装,3700.0
8564,夙川,6.0,3.0,２ＬＤＫ,70.0,2012.0,8.0,ＲＣ,１中住専,未改装,3600.0
8565,夙川,9.0,4.0,３ＬＤＫ,75.0,2012.0,13.0,ＲＣ,１中住専,未改装,4000.0
8567,西宮(阪神),3.0,2.0,１Ｋ,25.0,2012.0,7.0,ＲＣ,商業,未改装,1100.0
8568,西宮(阪神),5.0,4.0,３ＬＤＫ,55.0,2012.0,12.0,ＲＣ,商業,未改装,2200.0
8569,西宮北口,15.0,4.0,３ＬＤＫ,65.0,2013.0,28.0,ＲＣ,１種住居,改装済み,1500.0
8570,甲子園,6.0,4.0,３ＬＤＫ,80.0,2013.0,25.0,ＲＣ,１中住専,未改装,1400.0
8571,鳴尾・武庫川女子大前,5.0,5.0,４ＬＤＫ,85.0,2013.0,16.0,ＲＣ,１種住居,未改装,3000.0
8572,西宮北口,6.0,5.0,４ＬＤＫ,85.0,2013.0,1.0,ＲＣ,近隣商業,未改装,5100.0
8573,西宮北口,8.0,3.0,２ＬＤＫ,75.0,2013.0,1.0,ＲＣ,２種住居,改装済み,3800.0
8574,西宮北口,6.0,4.0,３ＬＤＫ,70.0,2013.0,1.0,ＲＣ,近隣商業,未改装,3600.0
8575,香櫨園,6.0,2.0,１Ｋ,15.0,2013.0,24.0,ＲＣ,１種住居,改装済み,460.0
8576,香櫨園,9.0,4.0,３ＬＤＫ,55.0,2013.0,15.0,ＲＣ,１種住居,未改装,1600.0
8577,西宮(ＪＲ),4.0,4.0,３ＬＤＫ,55.0,2013.0,37.0,ＳＲＣ,近隣商業,未改装,1600.0
8578,西宮(ＪＲ),3.0,2.0,１Ｋ,20.0,2013.0,29.0,ＲＣ,近隣商業,未改装,450.0
8579,香櫨園,15.0,4.0,３ＬＤＫ,65.0,2013.0,35.0,ＳＲＣ,準工業,改装済み,1400.0
8580,香櫨園,13.0,2.0,１ＬＤＫ,65.0,2013.0,21.0,ＲＣ,１種住居,改装済み,1800.0
8581,香櫨園,16.0,4.0,３ＬＤＫ,65.0,2013.0,8.0,ＲＣ,準工業,未改装,2200.0
8582,香櫨園,16.0,4.0,３ＬＤＫ,75.0,2013.0,8.0,ＲＣ,準工業,改装済み,2700.0
8583,香櫨園,15.0,4.0,３ＬＤＫ,70.0,2013.0,11.0,ＲＣ,準工業,未改装,2600.0
8584,西宮(阪神),19.0,4.0,３ＬＤＫ,70.0,2013.0,8.0,ＲＣ,準工業,未改装,2400.0
8585,門戸厄神,29.0,4.0,３ＬＤＫ,65.0,2013.0,33.0,ＲＣ,１中住専,未改装,1200.0
8587,久寿川,9.0,4.0,３ＬＤＫ,60.0,2013.0,17.0,ＲＣ,１種住居,未改装,1800.0
8588,久寿川,13.0,4.0,３ＬＤＫ,80.0,2013.0,17.0,ＲＣ,準工業,改装済み,2600.0
8590,久寿川,10.0,4.0,３ＬＤＫ,60.0,2013.0,17.0,ＳＲＣ,１種住居,未改装,2000.0
8591,久寿川,12.0,4.0,３ＬＤＫ,60.0,2013.0,16.0,ＳＲＣ,準工業,未改装,1400.0
8592,久寿川,13.0,4.0,３ＬＤＫ,60.0,2013.0,15.0,ＳＲＣ,１種住居,未改装,1800.0
8593,今津(阪神),4.0,5.0,４ＬＤＫ,80.0,2013.0,3.0,ＲＣ,近隣商業,未改装,3300.0
8594,久寿川,5.0,4.0,３ＬＤＫ,60.0,2013.0,7.0,ＲＣ,１種住居,未改装,2300.0
8596,門戸厄神,19.0,4.0,３ＬＤＫ,65.0,2013.0,15.0,ＲＣ,１中住専,改装済み,2000.0
8597,甲陽園,24.0,4.0,３ＬＤＫ,75.0,2013.0,15.0,ＲＣ,１中住専,改装済み,1900.0
8598,甲陽園,24.0,4.0,３ＬＤＫ,75.0,2013.0,15.0,ＲＣ,１中住専,未改装,1800.0
8599,甲陽園,16.0,4.0,３ＬＤＫ,60.0,2013.0,35.0,ＲＣ,１中住専,未改装,790.0
8600,甲陽園,16.0,4.0,３ＬＤＫ,70.0,2013.0,35.0,ＳＲＣ,１中住専,未改装,890.0
8601,甲陽園,16.0,4.0,３ＬＤＫ,65.0,2013.0,35.0,ＲＣ,１中住専,改装済み,1200.0
8602,甲陽園,16.0,3.0,２ＬＤＫ,55.0,2013.0,35.0,ＳＲＣ,１中住専,未改装,600.0
8603,甲陽園,18.0,5.0,４ＬＤＫ,95.0,2013.0,28.0,ＲＣ,１中住専,改装済み,3200.0
8604,武庫川団地前,2.0,5.0,４ＬＤＫ,80.0,2013.0,32.0,ＳＲＣ,準工業,改装済み,1400.0
8605,洲先,10.0,4.0,３ＬＤＫ,70.0,2013.0,12.0,ＲＣ,１種住居,未改装,2100.0
8606,鳴尾・武庫川女子大前,14.0,5.0,４ＬＤＫ,85.0,2013.0,12.0,ＲＣ,１種住居,未改装,3100.0
8607,鳴尾・武庫川女子大前,15.0,4.0,３ＬＤＫ,75.0,2013.0,32.0,ＲＣ,１種住居,改装済み,1500.0
8608,苦楽園口,18.0,4.0,３ＬＤＫ,80.0,2013.0,19.0,ＲＣ,１中住専,未改装,2200.0
8609,苦楽園口,16.0,5.0,４ＬＤＫ,80.0,2013.0,39.0,ＲＣ,１中住専,未改装,1300.0
8610,苦楽園口,18.0,2.0,１ＬＤＫ,55.0,2013.0,38.0,鉄骨造,１低住専,未改装,780.0
8611,苦楽園口,16.0,4.0,３ＬＤＫ,70.0,2013.0,3.0,ＲＣ,１中住専,未改装,3600.0
8612,夙川,4.0,4.0,３ＬＤＫ,70.0,2013.0,13.0,ＲＣ,１中住専,未改装,3900.0
8613,夙川,5.0,4.0,３ＬＤＫ,80.0,2013.0,17.0,ＲＣ,１中住専,未改装,3900.0
8614,夙川,14.0,4.0,３ＬＤＫ,70.0,2013.0,39.0,ＲＣ,１中住専,未改装,1500.0
8616,夙川,14.0,4.0,３ＬＤＫ,70.0,2013.0,39.0,ＲＣ,１中住専,改装済み,1600.0
8617,夙川,14.0,4.0,３ＬＤＫ,70.0,2013.0,39.0,ＲＣ,１中住専,未改装,800.0
8618,夙川,16.0,3.0,２ＬＤＫ,70.0,2013.0,39.0,ＲＣ,１中住専,改装済み,1400.0
8619,夙川,14.0,4.0,３ＬＤＫ,70.0,2013.0,39.0,ＲＣ,１中住専,未改装,780.0
8620,西宮北口,9.0,5.0,４ＬＤＫ,100.0,2013.0,2.0,ＲＣ,１中住専,未改装,5500.0
8621,西宮北口,10.0,4.0,３ＬＤＫ,75.0,2013.0,2.0,ＲＣ,１中住専,未改装,3900.0
8622,香櫨園,13.0,4.0,３ＬＤＫ,80.0,2013.0,2.0,ＲＣ,１種住居,未改装,3300.0
8623,西宮北口,13.0,4.0,３ＬＤＫ,70.0,2013.0,16.0,ＲＣ,１中住専,未改装,2500.0
8624,苦楽園口,12.0,5.0,４ＬＤＫ,85.0,2013.0,16.0,ＲＣ,１中住専,未改装,2300.0
8625,さくら夙川,6.0,4.0,３ＬＤＫ,65.0,2013.0,17.0,ＲＣ,１中住専,改装済み,2900.0
8627,さくら夙川,4.0,4.0,３ＬＤＫ,70.0,2013.0,14.0,ＲＣ,１種住居,未改装,3400.0
8628,さくら夙川,4.0,4.0,３ＬＤＫ,75.0,2013.0,14.0,ＲＣ,１種住居,未改装,3500.0
8629,さくら夙川,3.0,4.0,３ＬＤＫ,65.0,2013.0,34.0,ＳＲＣ,近隣商業,改装済み,2000.0
8630,東鳴尾,6.0,4.0,３ＬＤＫ,75.0,2013.0,22.0,ＲＣ,１種住居,未改装,2000.0
8631,さくら夙川,10.0,4.0,３ＬＤＫ,75.0,2013.0,14.0,ＲＣ,１中住専,未改装,4000.0
8632,苦楽園口,18.0,5.0,４ＬＤＫ,90.0,2013.0,10.0,ＲＣ,１中住専,改装済み,3400.0
8633,苦楽園口,16.0,4.0,３ＬＤＫ,65.0,2013.0,9.0,ＲＣ,１中住専,未改装,2200.0
8634,苦楽園口,13.0,2.0,１ＬＤＫ,75.0,2013.0,39.0,ＲＣ,１中住専,改装済み,1900.0
8635,苦楽園口,14.0,4.0,３ＬＤＫ,75.0,2013.0,39.0,ＲＣ,１中住専,未改装,950.0
8636,苦楽園口,18.0,4.0,３ＬＤＫ,85.0,2013.0,6.0,ＲＣ,１中住専,未改装,2800.0
8638,苦楽園口,16.0,4.0,３ＬＤＫ,60.0,2013.0,10.0,ＲＣ,１中住専,未改装,2400.0
8639,夙川,18.0,5.0,４ＬＤＫ,90.0,2013.0,10.0,ＲＣ,１中住専,未改装,2800.0
8640,夙川,18.0,4.0,３ＬＤＫ,90.0,2013.0,10.0,ＲＣ,１中住専,未改装,3300.0
8641,久寿川,13.0,4.0,３ＬＤＫ,65.0,2013.0,11.0,ＲＣ,準工業,未改装,2500.0
8642,甲子園,18.0,4.0,３ＬＤＫ,70.0,2013.0,27.0,ＳＲＣ,１種住居,改装済み,2000.0
8643,甲子園口,20.0,2.0,１ＤＫ,25.0,2013.0,25.0,ＲＣ,１中住専,未改装,440.0
8644,甲子園口,12.0,3.0,２ＬＤＫ,45.0,2013.0,41.0,鉄骨造,２中住専,未改装,710.0
8645,阪神国道,12.0,4.0,３ＬＤＫ,75.0,2013.0,4.0,ＲＣ,準工業,未改装,3100.0
8646,阪神国道,12.0,4.0,３ＬＤＫ,75.0,2013.0,4.0,ＲＣ,準工業,未改装,3200.0
8647,苦楽園口,9.0,4.0,３ＬＤＫ,70.0,2013.0,12.0,ＲＣ,１中住専,未改装,3300.0
8648,甲東園,13.0,4.0,３ＬＤＫ,75.0,2013.0,7.0,ＲＣ,１低住専,未改装,3700.0
8649,甲東園,4.0,4.0,３ＬＤＫ,75.0,2013.0,12.0,ＲＣ,１中住専,未改装,3600.0
8650,甲東園,9.0,5.0,４ＬＤＫ,90.0,2013.0,13.0,ＲＣ,２低住専,未改装,3700.0
8651,甲東園,9.0,3.0,２ＬＤＫ,70.0,2013.0,13.0,ＲＣ,２低住専,未改装,2900.0
8652,香櫨園,14.0,5.0,４ＬＤＫ,95.0,2013.0,8.0,ＲＣ,１中住専,未改装,3800.0
8655,香櫨園,13.0,5.0,４ＬＤＫ,85.0,2013.0,29.0,ＲＣ,１中住専,未改装,1700.0
8657,香櫨園,5.0,3.0,２ＬＤＫ,55.0,2013.0,15.0,ＲＣ,１中住専,未改装,1600.0
8658,甲子園口,12.0,4.0,３ＬＤＫ,60.0,2013.0,8.0,ＲＣ,１種住居,未改装,2700.0
8659,甲陽園,9.0,4.0,３ＬＤＫ,75.0,2013.0,13.0,ＲＣ,１中住専,未改装,2900.0
8660,西宮北口,4.0,5.0,４ＬＤＫ,80.0,2013.0,14.0,ＲＣ,１中住専,未改装,4500.0
8661,西宮北口,4.0,5.0,４ＬＤＫ,80.0,2013.0,14.0,ＲＣ,１中住専,未改装,2600.0
8662,西宮(阪神),19.0,3.0,２ＬＤＫ,65.0,2013.0,17.0,ＲＣ,準工業,改装済み,1600.0
8663,西宮(阪神),13.0,4.0,３ＬＤＫ,70.0,2013.0,39.0,ＳＲＣ,準工業,未改装,890.0
8664,西宮(阪神),13.0,4.0,３ＬＤＫ,75.0,2013.0,39.0,ＳＲＣ,準工業,未改装,650.0
8665,西宮(阪神),14.0,4.0,３ＬＤＫ,55.0,2013.0,39.0,ＳＲＣ,準工業,未改装,800.0
8666,西宮(阪神),12.0,3.0,２ＬＤＫ,45.0,2013.0,39.0,ＳＲＣ,準工業,未改装,520.0
8668,甲子園口,8.0,4.0,３ＬＤＫ,70.0,2013.0,6.0,ＲＣ,１中住専,未改装,4100.0
8669,甲子園口,6.0,4.0,２ＬＤＫ＋Ｓ,70.0,2013.0,12.0,ＲＣ,１中住専,未改装,2900.0
8670,甲子園口,9.0,4.0,３ＬＤＫ,70.0,2013.0,6.0,ＲＣ,１中住専,未改装,3300.0
8671,甲子園口,7.0,5.0,４ＬＤＫ,90.0,2013.0,7.0,ＲＣ,１中住専,未改装,4700.0
8672,苦楽園口,14.0,2.0,１ＬＤＫ,55.0,2013.0,15.0,ＲＣ,１低住専,未改装,1900.0
8673,苦楽園口,16.0,4.0,３ＬＤＫ,80.0,2013.0,5.0,ＲＣ,１低住専,未改装,4500.0
8674,苦楽園口,8.0,4.0,３ＬＤＫ,75.0,2013.0,2.0,ＲＣ,１中住専,未改装,5000.0
8675,夙川,8.0,4.0,３ＬＤＫ,75.0,2013.0,14.0,ＲＣ,１中住専,改装済み,4000.0
8676,甲子園,10.0,4.0,３ＬＤＫ,65.0,2013.0,44.0,ＲＣ,２中住専,改装済み,2000.0
8677,甲子園,6.0,5.0,４ＬＤＫ,115.0,2013.0,8.0,ＲＣ,１中住専,未改装,5000.0
8678,甲子園,10.0,4.0,３ＬＤＫ,70.0,2013.0,12.0,ＲＣ,１中住専,未改装,2700.0
8679,甲子園,5.0,2.0,１Ｋ,20.0,2013.0,44.0,ＲＣ,近隣商業,改装済み,450.0
8681,甲子園,6.0,4.0,３ＬＤＫ,100.0,2013.0,27.0,ＲＣ,２種住居,未改装,2900.0
8682,甲子園,6.0,4.0,３ＬＤＫ,90.0,2013.0,27.0,ＲＣ,２種住居,未改装,2600.0
8683,甲子園,6.0,4.0,３ＬＤＫ,100.0,2013.0,27.0,ＲＣ,２種住居,未改装,2800.0
8684,甲子園,5.0,3.0,２ＤＫ,55.0,2013.0,44.0,ＲＣ,近隣商業,改装済み,1100.0
8685,甲子園,6.0,5.0,４ＬＤＫ,115.0,2013.0,27.0,ＲＣ,２種住居,未改装,3500.0
8686,甲子園,6.0,4.0,３ＬＤＫ,95.0,2013.0,27.0,ＲＣ,２種住居,改装済み,3400.0
8687,甲子園,4.0,6.0,５ＤＫ,75.0,2013.0,44.0,ＲＣ,１種住居,未改装,1600.0
8688,甲子園,6.0,4.0,３ＬＤＫ,100.0,2013.0,27.0,ＲＣ,２種住居,改装済み,3500.0
8689,甲子園,6.0,4.0,３ＬＤＫ,90.0,2013.0,23.0,ＲＣ,２種住居,改装済み,2900.0
8690,甲子園,6.0,4.0,３ＬＤＫ,90.0,2013.0,27.0,ＲＣ,２種住居,未改装,2700.0
8691,甲子園,6.0,4.0,３ＬＤＫ,80.0,2013.0,27.0,ＲＣ,２種住居,未改装,2800.0
8692,甲子園,15.0,4.0,３ＬＤＫ,75.0,2013.0,7.0,ＲＣ,２種住居,未改装,3300.0
8693,鳴尾・武庫川女子大前,12.0,4.0,３ＬＤＫ,65.0,2013.0,7.0,ＲＣ,２種住居,未改装,3200.0
8694,甲子園口,1.0,4.0,３ＬＤＫ,60.0,2013.0,13.0,ＲＣ,近隣商業,未改装,2700.0
