ds,y,yhat,yhat_lower,yhat_upper,trend,trend_lower,trend_upper,yearly
2011-06-01,393.69,394.56078090757967,394.0317257962508,395.11285777638034,392.18957668923304,392.18957668923304,392.18957668923304,2.3712042183466293
2011-07-01,392.6,393.1535461441099,392.6347199549234,393.73013626834114,392.37349432647136,392.37349432647136,392.37349432647136,0.7800518176385199
2011-08-01,390.21,391.21428388593137,390.6197864806015,391.77614334575367,392.56354255161756,392.56354255161756,392.56354255161756,-1.3492586656861716
2011-09-01,389.0,389.60280388902214,389.05757904737374,390.18013970683927,392.7535907767637,392.7535907767637,392.7535907767637,-3.1507868877415732
2011-10-01,388.93,389.5753315214507,389.02286276646123,390.1162371008261,392.937508414002,392.937508414002,392.937508414002,-3.3621768925513074
2011-11-01,390.24,391.04874569000464,390.54372994802816,391.60244940449945,393.1275566391482,393.1275566391482,393.1275566391482,-2.078810949143596
2011-12-01,391.8,392.42781699356635,391.87138144556684,392.97441807898684,393.31147427638643,393.31147427638643,393.31147427638643,-0.8836572828201098
2012-01-01,393.07,393.546899192125,393.01037726207744,394.07371293514865,393.5015225015327,393.5015225015327,393.5015225015327,0.0453766905923155
2012-02-01,393.35,394.34866343199764,393.796370989502,394.91820896981244,393.6915707266789,393.6915707266789,393.6915707266789,0.657092705318728
2012-03-01,394.36,395.27128309311416,394.7313770164641,395.8468269271405,393.8693577760092,393.8693577760092,393.8693577760092,1.40192531710496
2012-04-01,396.43,396.67742100831265,396.1839530932567,397.2626951466742,394.0594060011554,394.0594060011554,394.0594060011554,2.618015007157246
2012-05-01,396.87,397.28983602248775,396.7271620474603,397.8137836688739,394.2433236383937,394.2433236383937,394.2433236383937,3.046512384094032
2012-06-01,395.88,396.7708284589063,396.1675119997838,397.36819848922744,394.43337186353995,394.43337186353995,394.43337186353995,2.337456595366346
2012-07-01,394.52,395.33541563705495,394.76974755166447,395.8759686613179,394.61728950077816,394.61728950077816,394.61728950077816,0.7181261362767699
2012-08-01,392.54,393.4057552765783,392.8404860121431,393.9474862687348,394.8073377259244,394.8073377259244,394.8073377259244,-1.4015824493461184
2012-09-01,391.12,391.7983746770705,391.22260934762033,392.3754572334214,394.9973859510706,394.9973859510706,394.9973859510706,-3.199011274000099
2012-10-01,391.01,391.91379824183,391.3682281147123,392.434927500655,395.1813035883088,395.1813035883088,395.1813035883088,-3.2675053464787753
2012-11-01,392.95,393.32975358420634,392.81062483659156,393.8839871498675,395.3713518134551,395.3713518134551,395.3713518134551,-2.0415982292487267
2012-12-01,394.34,394.65683489239035,394.0682646942696,395.27663470904014,395.55526945069334,395.55526945069334,395.55526945069334,-0.898434558302971
2013-01-01,395.61,395.75755161851777,395.2131676025096,396.36363128115767,395.74531767583954,395.74531767583954,395.74531767583954,0.01223394267822882
2013-02-01,396.85,396.6170069760943,396.05401766394647,397.17158662513657,395.93536590098574,395.93536590098574,395.93536590098574,0.6816410751085129
2013-03-01,397.26,397.4826259641042,396.92032401565234,398.0741018606363,396.10702236240814,396.10702236240814,396.10702236240814,1.375603601696049
2013-04-01,398.35,398.90369819755364,398.33030107025365,399.4542863005661,396.29707058755434,396.29707058755434,396.29707058755434,2.6066276099992933
2013-05-01,399.98,399.5387881027064,398.9590669366008,400.1209866188829,396.48098822479267,396.48098822479267,396.48098822479267,3.0577998779137348
2013-06-01,398.87,399.0198333269244,398.4429476574771,399.56916142034595,396.6710364499388,396.6710364499388,396.6710364499388,2.3487968769855754
2013-07-01,397.37,397.59383721019896,397.0523649671416,398.18107403755994,396.8549540871771,396.8549540871771,396.8549540871771,0.7388831230219032
2013-08-01,395.41,395.660983943925,395.1021425428687,396.18611243477415,397.0450023123233,397.0450023123233,397.0450023123233,-1.3840183683982865
2013-09-01,393.39,394.05236941100713,393.50593060805255,394.60934943287685,397.23505053746953,397.23505053746953,397.23505053746953,-3.1826811264624206
2013-10-01,393.7,394.11980321951347,393.6036923408118,394.6540847384367,397.4189681747078,397.4189681747078,397.4189681747078,-3.299164955194306
2013-11-01,395.19,395.55442933159077,395.00970794391253,396.09267289935815,397.60901639985394,397.60901639985394,397.60901639985394,-2.054587068263151
2013-12-01,396.82,396.8991276757134,396.3109036774734,397.4155275909351,397.79293403709227,397.79293403709227,397.79293403709227,-0.8938063613788673
2014-01-01,397.93,398.0065847160746,397.46042580938513,398.5683353572095,397.98298226223847,397.98298226223847,397.98298226223847,0.023602453836111217
2014-02-01,398.1,398.8470467512192,398.3036443532631,399.3869223858501,398.1730304873847,398.1730304873847,398.1730304873847,0.6740162638344775
2014-03-01,399.47,399.6940590307529,399.1605808588118,400.2660491232192,398.34468694880707,398.34468694880707,398.34468694880707,1.3493720819458166
2014-04-01,401.33,401.1303372189044,400.56223833881353,401.71629165700455,398.53473517395327,398.53473517395327,398.53473517395327,2.595602044951138
2014-05-01,401.88,401.7878398330485,401.2772516816368,402.34119989676014,398.7186528111915,398.7186528111915,398.7186528111915,3.0691870218570374
2014-06-01,401.31,401.2687493453758,400.6944730813367,401.7940034421898,398.90870103633773,398.90870103633773,398.90870103633773,2.3600483090380866
2014-07-01,399.07,399.85214607201914,399.29465300110587,400.39757747253094,399.092618673576,399.092618673576,399.092618673576,0.7595273984431612
2014-08-01,397.21,397.916090917419,397.36815748333044,398.4736241054113,399.28266689872225,399.28266689872225,399.28266689872225,-1.3665759813032556
2014-09-01,395.4,396.30610926807014,395.75557078653225,396.873390050264,399.4727151238684,399.4727151238684,399.4727151238684,-3.1666058557982284
2014-10-01,395.65,396.3259006611316,395.7336407523851,396.87848300131446,399.6566327611067,399.6566327611067,399.6566327611067,-3.330732099975157
2014-11-01,397.22,397.77968781062873,397.22964442826344,398.36238830359133,399.8466809862529,399.8466809862529,399.8466809862529,-2.0669931756242077
2014-12-01,398.79,399.1417251335019,398.58031774950376,399.7085484371619,400.03059862349113,400.03059862349113,400.03059862349113,-0.8888734899892401
2015-01-01,399.85,400.2553047878713,399.6711857420866,400.8523852460716,400.2206468486374,400.2206468486374,400.2206468486374,0.03465793923389301
2015-02-01,400.31,401.07652787752386,400.499717036757,401.61218534102505,400.4106950737836,400.4106950737836,400.4106950737836,0.6658328037402675
2015-03-01,401.51,401.9056065711965,401.320955639841,402.45276014736834,400.582351535206,400.582351535206,400.582351535206,1.323255035990497
2015-04-01,403.45,403.3573450950587,402.8211398026025,403.91728780452837,400.77239976035224,400.77239976035224,400.77239976035224,2.584945334706466
2015-05-01,404.1,404.0369788867302,403.4545276852331,404.5755216135197,400.95631739759045,400.95631739759045,400.95631739759045,3.08066148913977
2015-06-01,402.88,403.51756984108323,402.991538114137,404.09488682306954,401.1463656227366,401.1463656227366,401.1463656227366,2.3712042183466084
2015-07-01,401.61,402.1103350776137,401.5456043603509,402.6827839311017,401.330283259975,401.330283259975,401.330283259975,0.7800518176387276
2015-08-01,399.0,400.17107281943487,399.6250849646673,400.71787304322544,401.5203314851211,401.5203314851211,401.5203314851211,-1.3492586656862644
2015-09-01,397.5,398.55959282252576,398.01523631607984,399.1152916495431,401.7103797102673,401.7103797102673,401.7103797102673,-3.15078688774156
2015-10-01,398.28,398.5321204549542,397.95160752496594,399.08231071140955,401.8942973475056,401.8942973475056,401.8942973475056,-3.362176892551344
2015-11-01,400.24,400.00553462350825,399.5055683420082,400.54923946326926,402.08434557265184,402.08434557265184,402.08434557265184,-2.0788109491435627
2015-12-01,401.89,401.3846059270701,400.81232820754667,401.96544270705465,402.2682632098901,402.2682632098901,402.2682632098901,-0.8836572828200391
2016-01-01,402.65,402.5036881256285,401.9594972242949,403.0746511369817,402.45831143503625,402.45831143503625,402.45831143503625,0.045376690592254895
2016-02-01,404.16,403.3054523655013,402.7282729565075,403.878663409631,402.6483596601825,402.6483596601825,402.6483596601825,0.657092705318794
2016-03-01,404.85,404.2280720266177,403.68517876580614,404.78997112982853,402.82614670951284,402.82614670951284,402.82614670951284,1.4019253171049106
2016-04-01,407.57,405.6342099418162,405.0563190055324,406.1970148246742,403.016194934659,403.016194934659,403.016194934659,2.618015007157224
2016-05-01,407.66,406.24662495599136,405.72644819133353,406.78427591897463,403.2001125718973,403.2001125718973,403.2001125718973,3.04651238409403
2016-06-01,407.0,405.7276173924099,405.15290978192417,406.31673914119784,403.3901607970435,403.3901607970435,403.3901607970435,2.337456595366433
2016-07-01,404.5,404.2922045705586,403.74718409219923,404.8349439731543,403.5740784342818,403.5740784342818,403.5740784342818,0.7181261362768413
2016-08-01,402.24,402.36254421008204,401.77441014611355,402.90482086761165,403.764126659428,403.764126659428,403.764126659428,-1.4015824493459303
2016-09-01,401.01,400.75516361057396,400.25665368615216,401.34615759042646,403.95417488457423,403.95417488457423,403.95417488457423,-3.199011274000257
2016-10-01,401.5,400.8705871753338,400.31499562304947,401.42913611308927,404.1380925218125,404.1380925218125,404.1380925218125,-3.2675053464786803
2016-11-01,403.64,402.28654251771,401.7214389899667,402.83611187163575,404.32814074695864,404.32814074695864,404.32814074695864,-2.041598229248645
2016-12-01,404.55,403.613623825894,403.089214312303,404.18664714067387,404.51205838419696,404.51205838419696,404.51205838419696,-0.898434558302947
2017-01-01,406.07,404.7143405520213,404.1978901381411,405.3106714540973,404.70210660934316,404.70210660934316,404.70210660934316,0.012233942678187585
2017-02-01,406.64,405.5737959095979,405.00545497766194,406.11711173124917,404.89215483448936,404.89215483448936,404.89215483448936,0.6816410751085369
2017-03-01,407.06,406.4394148976078,405.8564218944828,407.0350260021853,405.06381129591176,405.06381129591176,405.06381129591176,1.3756036016959954
2017-04-01,408.95,407.8604871310571,407.3040010804425,408.426274252968,405.25385952105796,405.25385952105796,405.25385952105796,2.6066276099991392
2017-05-01,409.91,408.49557703620997,407.93945189891764,409.0713800493219,405.43777715829617,405.43777715829617,405.43777715829617,3.057799877913806
2017-06-01,409.12,407.9766222604281,407.44066879557903,408.4971824688268,405.6278253834424,405.6278253834424,405.6278253834424,2.3487968769856855
2017-07-01,407.2,406.5506261437025,405.9739965909989,407.06791548716603,405.8117430206807,405.8117430206807,405.8117430206807,0.7388831230218381
2017-08-01,405.24,404.6177728774287,404.0441138007953,405.1610009133829,406.0017912458269,406.0017912458269,406.0017912458269,-1.3840183683981757
2017-09-01,403.27,403.00915834451075,402.46058193364007,403.5446549439521,406.1918394709731,406.1918394709731,406.1918394709731,-3.182681126462367
2017-10-01,403.64,403.0765921530168,402.60087866702656,403.6228625878274,406.37575710821136,406.37575710821136,406.37575710821136,-3.299164955194544
2017-11-01,405.17,404.5112182650946,403.9192538413282,405.0583928489923,406.5658053333576,406.5658053333576,406.5658053333576,-2.054587068263016
2017-12-01,406.75,405.85591660921693,405.2801965487159,406.41448437652406,406.7497229705958,406.7497229705958,406.7497229705958,-0.8938063613788824
2017-12-31,,406.99935267171765,406.4662953863705,407.5251835937585,406.9336406078341,406.9336406078341,406.9336406078341,0.06571206388356318
2018-01-31,,407.7616447471052,407.1838277414537,408.3224587647725,407.12368883298035,407.12368883298035,407.12368883298035,0.6379559141248518
2018-02-28,,408.5411769322624,407.991630828847,409.07091387260175,407.29534529440275,407.29534529440275,407.29534529440275,1.2458316378596475
2018-03-31,,410.0406406247595,409.4725900844049,410.60341905340835,407.4853935195489,407.4853935195489,407.4853935195489,2.555247105210594
2018-04-30,,410.7847911491654,410.2142808521186,411.38692502329377,407.66931115678716,407.66931115678716,407.66931115678716,3.1154799923782672
2018-05-31,,410.2633918158365,409.7290012206696,410.8141468210559,407.8593593819334,407.8543537138817,407.86112603166646,2.404032433903071
2018-06-30,,408.8841145928759,408.30848916509115,409.41278938158877,408.0432770191717,408.0283314719268,408.0562371591613,0.8408375737042325
2018-07-31,,406.93523958685296,406.38819113284075,407.50821034020464,408.2333252443179,408.2013276225526,408.25669856559836,-1.2980856574649173
2018-08-31,,405.31850133207706,404.7378413304192,405.86878131971406,408.423373469464,408.37442300732346,408.4552404800634,-3.1048721373869697
2018-09-30,,405.15181115906273,404.5706202444992,405.74047790197983,408.60729110670235,408.538300233686,408.65101851696056,-3.4554799476396374
2018-10-31,,406.68664493772576,406.08746106273844,407.24793470732635,408.79733933184855,408.71059145615783,408.861871215122,-2.1106943941227625
2018-11-30,,408.1147268229015,407.4975138304973,408.71330203974645,408.9812569690868,408.87541744353206,409.0684361637856,-0.8665301461853362
2018-12-31,,409.2465894852436,408.67160949990773,409.83674878343686,409.171305194233,409.0397671883962,409.28449137949946,0.07528429101059315
2019-01-31,,409.988921924994,409.3998861283144,410.6086021935168,409.36135341937927,409.2054479590829,409.4954837703958,0.6275685056147137
2019-02-28,,410.7534223525551,410.11039937164196,411.3640670910728,409.5330098808016,409.3475683830768,409.68603827708773,1.2204124717534761
2019-03-31,,412.26917879093173,411.62201713905955,412.87366871026586,409.72305810594787,409.51335133580693,409.8911152859189,2.5461206849838427
2019-04-30,,413.03414893826607,412.387773563442,413.680115302119,409.9069757431861,409.66540872893034,410.0952780721675,3.127173195080013
2019-05-31,,412.5117640797849,411.8178632362556,413.1607388383556,410.0970239683322,409.8265519632481,410.3073953478086,2.414740111452635
2019-06-30,,411.1417569239093,410.45091076422784,411.79604124830405,410.2809416055706,409.98985655869,410.50933692586204,0.8608153183387091
2019-07-31,,409.18969448521915,408.4826280771791,409.8694767109593,410.47098983071675,410.13967861396924,410.71819090239336,-1.2812953454975786
2019-08-31,,407.57095857153365,406.8636086307029,408.27936756544517,410.661038055863,410.30731625225667,410.9319554526271,-3.090079484329324
2019-09-30,,407.35881671342713,406.6557014260073,408.0120766053109,410.8449556931012,410.45187766227997,411.13118480779286,-3.4861389796740663
2019-10-31,,408.9148795204769,408.22777758647726,409.5738647151671,411.03500391824747,410.59184831067824,411.35317638361414,-2.120124397770538
2019-11-30,,410.3585170354237,409.512060611448,411.0551152068638,411.21892155548574,410.7294698693984,411.5690145781613,-0.8604045200620587
2019-12-31,,411.49340084986994,410.7301657296289,412.2325376063182,411.4089697806319,410.8892995506475,411.7924648436169,0.08443106923807067
2020-01-31,,412.2156610185297,411.36437312310267,412.99663730318645,411.59901800577813,411.04532803284553,412.0145628455132,0.616643012751596
2020-02-29,,413.0740816877233,412.2812959083444,413.89023541381306,411.77680505510847,411.19005212640855,412.2363495766578,1.297276632614841
2020-03-31,,414.54151702361435,413.649928305989,415.34653748225855,411.9668532802546,411.3362509627186,412.47164505731257,2.574663743359744
2020-04-30,,415.24298149137525,414.2613550250478,416.06427204405173,412.150770917493,411.48622167548336,412.71767767733417,3.0922105738822454
2020-05-31,,414.7230770914431,413.7441670882582,415.6452356392636,412.34081914263913,411.6101942333666,412.9534365652077,2.3822579488039772
2020-06-30,,413.3251862162179,412.33108787271595,414.17931979775824,412.52473677987734,411.75372675880345,413.1765244891256,0.8004494363405651
2020-07-31,,411.3827155547027,410.39264042667355,412.3105508389416,412.7147850050236,411.88768482987507,413.4100230785546,-1.3320694503209052
2020-08-31,,409.7696082473616,408.6984119995339,410.6908831764073,412.90483323016986,412.0462622494326,413.64673130907323,-3.1352249828082677
2020-09-30,,409.6952813284148,408.58460396731505,410.6264846257093,413.0887508674081,412.1782441366475,413.860814238675,-3.3934695389932963
2020-10-31,,411.1887632328098,410.0780112990485,412.1855562972338,413.27879909255427,412.3159897274327,414.08909241744294,-2.0900358597444963
2020-11-30,,412.5845370945894,411.3798565123844,413.59689423757425,413.4627167297926,412.44830122198493,414.3384634344314,-0.878179635203196
2020-12-31,,413.7085005279324,412.49824532921224,414.8439010180115,413.6527649549388,412.58674330444495,414.5920409823472,0.05573557299363103
2021-01-31,,414.4906122157824,413.22823056710195,415.5968745381283,413.84281318008505,412.7536016914544,414.8393705827856,0.6477990356973425
2021-02-28,,415.2859305320448,414.0355557495497,416.5034471410322,414.01446964150745,412.86902066297466,415.06534369713034,1.2714608905373403
2021-03-31,,416.7692806302494,415.40498200682543,418.0030785405814,414.2045178666536,413.0133444071739,415.3116922862902,2.5647627635958172
2021-04-30,,417.49225671414035,416.16002369304607,418.75003014653754,414.3884355038918,413.1407122785559,415.5559306231488,3.1038212102485776
2021-05-31,,416.9716866070436,415.56837987178477,418.32431242254506,414.57848372903806,413.2701145781406,415.7812046367612,2.3932028780055306
2021-06-30,,415.58311488982736,414.064529778929,416.97124212289185,414.7624013662763,413.40590494713564,416.0248290561059,0.8207135235510383
2021-07-31,,413.637438582046,411.981314738657,414.9955140673217,414.95244959142246,413.55279094276216,416.2802240220433,-1.3150110093764735
2021-08-31,,412.0225775706062,410.4842625808518,413.4880472157782,415.1424978165687,413.688416261982,416.5258958837819,-3.1199202459625597
