,station,to_station,#_of_rooms,floor_plan,area,tx.yr.,age,bldg.struct.,LUZ,renovation,price
3453,夙川,12.0,4.0,３ＬＤＫ,75.0,2014.0,43.0,ＲＣ,１中住専,未改装,1300.0
3454,夙川,12.0,4.0,３ＬＤＫ,75.0,2014.0,43.0,ＲＣ,１中住専,未改装,1700.0
3455,甲子園口,9.0,4.0,３ＬＤＫ,85.0,2017.0,9.0,ＲＣ,１中住専,未改装,4000.0
3456,甲子園口,9.0,5.0,４ＬＤＫ,90.0,2017.0,9.0,ＲＣ,１中住専,未改装,4600.0
3457,西宮(阪神),3.0,4.0,３ＬＤＫ,60.0,2017.0,11.0,ＲＣ,商業,未改装,3000.0
3458,甲子園,13.0,5.0,４ＬＤＫ,105.0,2014.0,9.0,ＲＣ,２種住居,未改装,4500.0
3459,甲子園,10.0,4.0,３ＬＤＫ,75.0,2014.0,12.0,ＲＣ,２中住専,未改装,3100.0
3460,甲子園,11.0,4.0,３ＬＤＫ,80.0,2014.0,12.0,ＲＣ,２中住専,未改装,3300.0
3461,甲子園,13.0,3.0,２ＬＤＫ,75.0,2014.0,9.0,ＲＣ,２種住居,未改装,3300.0
3462,苦楽園口,2.0,3.0,２ＬＤＫ,80.0,2014.0,6.0,ＲＣ,１中住専,未改装,6000.0
3463,苦楽園口,3.0,4.0,３ＬＤＫ,80.0,2014.0,6.0,ＲＣ,１中住専,未改装,5200.0
3464,宝塚,15.0,4.0,３ＬＤＫ,75.0,2010.0,13.0,ＳＲＣ,２中住専,未改装,1500.0
3465,宝塚,15.0,4.0,３ＬＤＫ,75.0,2010.0,11.0,ＳＲＣ,２中住専,未改装,1700.0
3466,西宮北口,6.0,4.0,３ＬＤＫ,80.0,2014.0,16.0,ＲＣ,１中住専,未改装,3700.0
3467,西宮北口,6.0,4.0,３ＬＤＫ,75.0,2014.0,0.0,ＲＣ,１種住居,未改装,5300.0
3469,西宮北口,7.0,2.0,１Ｋ,25.0,2014.0,16.0,ＳＲＣ,１中住専,未改装,1300.0
3470,西宮北口,6.0,4.0,３ＬＤＫ,80.0,2014.0,0.0,ＲＣ,１種住居,未改装,5600.0
3471,香櫨園,4.0,4.0,３ＬＤＫ,85.0,2014.0,17.0,ＲＣ,１種住居,未改装,4200.0
3472,香櫨園,3.0,4.0,３ＬＤＫ,70.0,2014.0,20.0,ＲＣ,１種住居,改装済み,2700.0
3473,生瀬,12.0,4.0,３ＬＤＫ,75.0,2010.0,11.0,ＳＲＣ,２中住専,未改装,1500.0
