ds,trend,trend_lower,trend_upper,yhat,yhat_lower,yhat_upper,yearly
1972-07-01,327.81388903646535,327.81388903646535,327.81388903646535,328.60107801609325,328.0935932609307,329.1171708843549,0.7871889796278935
1972-08-01,327.9830036111652,327.9830036111652,327.9830036111652,326.6614750268591,326.16177310828505,327.15409139924117,-1.3215285843061284
1972-09-01,328.152118185865,328.152118185865,328.152118185865,325.018068799332,324.5074329634395,325.56387225872925,-3.1340493865330004
1972-10-01,328.3157774517036,328.3157774517036,328.3157774517036,325.1191213119609,324.6235704562715,325.6331872631362,-3.196656139742684
1972-11-01,328.48489202640343,328.48489202640343,328.48489202640343,326.38862185923904,325.9037770285029,326.9055075113141,-2.0962701671643846
1972-12-01,328.648551292242,328.648551292242,328.648551292242,327.67062761602585,327.16301528882764,328.19515184476563,-0.9779236762161561
1973-01-01,328.81766586694187,328.81766586694187,328.81766586694187,328.7303865855842,328.21949968213795,329.2567800260463,-0.0872792813576701
1973-02-01,328.9867804416417,328.9867804416417,328.9867804416417,329.5437768365778,329.02528107804864,330.0539062327655,0.5569963949360901
1973-03-01,329.1395290897577,329.1395290897577,329.1395290897577,330.51545977358904,330.006235701401,331.0375657692261,1.3759306838313843
1973-04-01,329.3086436644575,329.3086436644575,329.3086436644575,331.8044827511999,331.3101994859207,332.3040755105679,2.49583908674235
1973-05-01,329.37835717906916,329.37835717906916,329.37835717906916,332.30521652336773,331.7919516390499,332.80605245411664,2.9268593442985757
1973-06-01,329.4503944775011,329.4503944775011,329.4503944775011,331.72243938631885,331.18277698215167,332.2414315151727,2.2720449088177337
1973-07-01,329.52010799211274,329.52010799211274,329.52010799211274,330.301823522777,329.7639681789549,330.8335759086923,0.7817155306642523
1973-08-01,329.59214529054475,329.59214529054475,329.59214529054475,328.3015647638084,327.8141642518469,328.80036613609445,-1.2905805267363162
1973-09-01,329.66418258897676,329.66418258897676,329.66418258897676,326.5446745318882,326.004055396395,327.09005686754057,-3.1195080570885576
1973-10-01,329.73389610358834,329.73389610358834,329.73389610358834,326.4773893586518,325.966260005183,326.96834519525976,-3.256506744936547
1973-11-01,329.80593340202034,329.80593340202034,329.80593340202034,327.71065521596535,327.1673782964859,328.2227484513626,-2.0952781860550247
1973-12-01,329.875646916632,329.875646916632,329.875646916632,328.90702886968137,328.3457156769377,329.40947908022974,-0.9686180469505957
1974-01-01,329.947684215064,329.947684215064,329.947684215064,329.8844214331092,329.4300547177763,330.36881744522225,-0.06326278195477689
1974-02-01,330.01972151349594,330.01972151349594,330.01972151349594,330.59641366908807,330.06815941531994,331.13285571834587,0.5766921555921228
1974-03-01,330.08478746046677,330.08478746046677,330.08478746046677,331.3772374552593,330.8749671885422,331.88321756607405,1.2924499947925523
1974-04-01,330.1568247588988,330.1568247588988,330.1568247588988,332.64546074503136,332.11446825883473,333.1829050921662,2.4886359861325524
1974-05-01,330.22653827351036,330.22653827351036,330.22653827351036,333.1854605354525,332.7061321271143,333.69845562290516,2.9589222619421434
1974-06-01,330.29857557194237,330.29857557194237,330.29857557194237,332.6047449809374,332.08216898034084,333.08576572943576,2.3061694089950815
1974-07-01,330.368289086554,330.368289086554,330.368289086554,331.14411732987327,330.6621125519836,331.6638946766871,0.7758282433192937
1974-08-01,330.440326384986,330.440326384986,330.440326384986,329.1806006565924,328.6262376541275,329.6826975566162,-1.2597257283936258
1974-09-01,330.51235582851297,330.51235582851297,330.51235582851297,327.4066779888106,326.90020522732874,327.9184975419887,-3.105677839702354
1974-10-01,330.5820617416037,330.5820617416037,330.5820617416037,327.2660904191387,326.74906576955794,327.78429710620094,-3.3159713224650016
1974-11-01,330.6540911851307,330.6540911851307,330.6540911851307,328.5609909380328,328.04021596964475,329.0237137712078,-2.093100247097958
1974-12-01,330.7237970982213,330.7237970982213,330.7237970982213,329.76494320946745,329.2342701565547,330.2793262376016,-0.9588538887538887
1975-01-01,330.7958265417484,330.7958265417484,330.7958265417484,330.7562895997314,330.24602254394387,331.2879972045926,-0.039536942017003036
1975-02-01,330.8678559852754,330.8678559852754,330.8678559852754,331.4627724020317,330.963145593768,331.98111575708464,0.5949164167562913
1975-03-01,330.9329148374934,330.9329148374934,330.9329148374934,332.14192912669444,331.6490629626211,332.6200668957473,1.2090142892010542
1975-04-01,331.0049442810204,331.0049442810204,331.0049442810204,333.48787448201153,332.9301432157013,333.99812291802454,2.4829302009911465
1975-05-01,331.0746501941111,331.0746501941111,331.0746501941111,334.066131261008,333.53720864080674,334.61587996077554,2.9914810668969176
1975-06-01,331.1466796376381,331.1466796376381,331.1466796376381,333.4863406852183,332.9600163923886,333.9871483647811,2.3396610475802064
1975-07-01,331.2163855507288,331.2163855507288,331.2163855507288,331.985925065982,331.4990107537236,332.48512420833106,0.7695395152532047
1975-08-01,331.2884149942558,331.2884149942558,331.2884149942558,330.05944055911766,329.5245173779001,330.59385331337626,-1.2289744351381027
1975-09-01,331.3604444377828,331.3604444377828,331.3604444377828,328.2678928125313,327.79383452328847,328.7592107937128,-3.0925516252515033
1975-10-01,331.43015035087353,331.43015035087353,331.43015035087353,328.0551610397951,327.53808394408753,328.57751389435475,-3.3749893110784215
1975-11-01,331.5021797944005,331.5021797944005,331.5021797944005,329.41243919956577,328.87244209081445,329.9241888560632,-2.0897405948347187
1975-12-01,331.61500399584617,331.61500399584617,331.61500399584617,330.6663365182349,330.17511793660725,331.1863165679591,-0.9486674776112639
1976-01-01,331.73158900400665,331.73158900400665,331.73158900400665,331.7154392050983,331.1868792572091,332.2408589057838,-0.016149798908397003
1976-02-01,331.84817401216714,331.84817401216714,331.84817401216714,332.4598220195801,331.9235375695743,332.9874028762359,0.6116480074129478
1976-03-01,331.95723740689795,331.95723740689795,331.95723740689795,333.4166055206966,332.9178495594871,333.9178016673129,1.45936811379861
1976-04-01,332.0738224150585,332.0738224150585,332.0738224150585,334.5783472276539,334.05621726750826,335.0697552202646,2.50452481259542
1976-05-01,332.1866466165041,332.1866466165041,332.1866466165041,335.081983521951,334.59592522805787,335.5980357457326,2.895336905446876
1976-06-01,332.3032316246646,332.3032316246646,332.3032316246646,334.5405548984099,334.03663875736964,335.0405296692877,2.237323273745269
1976-07-01,332.41605582611027,332.41605582611027,332.41605582611027,333.20324480573817,332.671955751764,333.7221358011444,0.7871889796278789
1976-08-01,332.53264083427075,332.53264083427075,332.53264083427075,331.21111224996463,330.70613798967145,331.7227468340031,-1.3215285843061217
1976-09-01,332.64922584243124,332.64922584243124,332.64922584243124,329.5151764558982,328.99104580391923,330.012699945815,-3.1340493865330132
1976-10-01,332.7620500438769,332.7620500438769,332.7620500438769,329.5653939041342,329.04559733599945,330.0606496545744,-3.196656139742664
1976-11-01,332.8786350520374,332.8786350520374,332.8786350520374,330.782364884873,330.26097059688755,331.2471062283093,-2.0962701671643806
1976-12-01,332.9914592534831,332.9914592534831,332.9914592534831,332.0135355772669,331.49012842784583,332.56592989715153,-0.9779236762161451
1977-01-01,333.10804426164356,333.10804426164356,333.10804426164356,333.0207649802859,332.51054221903695,333.5318941436861,-0.08727928135767006
1977-02-01,333.22462926980404,333.22462926980404,333.22462926980404,333.78162566474015,333.2715138113285,334.33030607026853,0.5569963949360911
1977-03-01,333.32993185782,333.32993185782,333.32993185782,334.7058625416513,334.172311189449,335.18645674557087,1.3759306838313392
1977-04-01,333.4710204273885,333.4710204273885,333.4710204273885,335.9668595141309,335.458889153812,336.4815828250638,2.495839086742353
1977-05-01,333.6075577527774,333.6075577527774,333.6075577527774,336.53441709707596,336.01267981424417,337.05123843362986,2.9268593442985615
1977-06-01,333.74864632234585,333.74864632234585,333.74864632234585,336.0206912311636,335.50812605664777,336.51912396267875,2.272044908817738
1977-07-01,333.8851836477348,333.8851836477348,333.8851836477348,334.66689917839904,334.14663068856373,335.193993089662,0.7817155306642475
1977-08-01,334.0262722173033,334.0262722173033,334.0262722173033,332.73569169056697,332.21531268746395,333.27914422145807,-1.2905805267363115
1977-09-01,334.16736078687177,334.16736078687177,334.16736078687177,331.0478527297832,330.5465759502471,331.56281589661967,-3.1195080570885954
1977-10-01,334.30389811226064,334.30389811226064,334.30389811226064,331.04739136732417,330.54874729314434,331.54912490273193,-3.25650674493646
1977-11-01,334.44498668182916,334.44498668182916,334.44498668182916,332.3497084957741,331.85849705830594,332.86476163618494,-2.0952781860550305
1977-12-01,334.58152400721804,334.58152400721804,334.58152400721804,333.6129059602674,333.1041356735919,334.14405671708437,-0.9686180469505933
1978-01-01,334.72261257678656,334.72261257678656,334.72261257678656,334.65934979483177,334.1508636973718,335.1409454509967,-0.06326278195480058
1978-02-01,334.8637011463551,334.8637011463551,334.8637011463551,335.4403933019472,334.901740492776,335.94995808608377,0.5766921555921295
1978-03-01,334.99113598338465,334.99113598338465,334.99113598338465,336.28358597817726,335.793709321789,336.79121254841806,1.2924499947926167
1978-04-01,335.1322245529532,335.1322245529532,335.1322245529532,337.62086053908575,337.1089271530263,338.13004649178123,2.4886359861325684
1978-05-01,335.26876187834205,335.26876187834205,335.26876187834205,338.22768414028417,337.7295026260387,338.7435435425412,2.9589222619420963
1978-06-01,335.40985044791057,335.40985044791057,335.40985044791057,337.7160198569056,337.20574139558437,338.2106504625542,2.306169408995
1978-07-01,335.54638777329944,335.54638777329944,335.54638777329944,336.3222160166187,335.8149181802794,336.8353769487885,0.7758282433192915
1978-08-01,335.6780844053752,335.6780844053752,335.6780844053752,334.41835867698154,333.9041041886729,334.9460650435802,-1.2597257283936711
1978-09-01,335.80978103745093,335.80978103745093,335.80978103745093,332.7041031977486,332.2030043435411,333.2217640183198,-3.10567783970233
1978-10-01,335.93722939107266,335.93722939107266,335.93722939107266,332.6212580686077,332.09932188894277,333.1117405847506,-3.315971322464972
1978-11-01,336.0689260231484,336.0689260231484,336.0689260231484,333.97582577605044,333.47303755819763,334.48920882591204,-2.093100247097918
1978-12-01,336.1963743767701,336.1963743767701,336.1963743767701,335.23752048801623,334.70048233305454,335.7422937141867,-0.9588538887538741
1979-01-01,336.3280710088458,336.3280710088458,336.3280710088458,336.2885340668288,335.7488951890387,336.8057720763849,-0.03953694201703248
1979-02-01,336.4597676409216,336.4597676409216,336.4597676409216,337.0546840576779,336.59907333895814,337.6032286760677,0.594916416756305
1979-03-01,336.57871943763513,336.57871943763513,336.57871943763513,337.78773372683617,337.28098302828874,338.27658878962586,1.2090142892010396
1979-04-01,336.71041606971096,336.71041606971096,336.71041606971096,339.19334627070214,338.6754382250879,339.72573990923394,2.4829302009911607
1979-05-01,336.83786442333263,336.83786442333263,336.83786442333263,339.82934549022957,339.35099320232405,340.3728289805738,2.9914810668969287
1979-06-01,336.9695610554084,336.9695610554084,336.9695610554084,339.30922210298866,338.7827432880842,339.83803620355815,2.339661047580232
1979-07-01,337.0970094090301,337.0970094090301,337.0970094090301,337.8665489242833,337.37302640187096,338.3717345935811,0.7695395152531797
1979-08-01,337.2287060411058,337.2287060411058,337.2287060411058,335.9997316059678,335.4990902002913,336.51190833945145,-1.2289744351380216
1979-09-01,337.36040267318157,337.36040267318157,337.36040267318157,334.2678510479301,333.7430989174815,334.79240514932206,-3.0925516252514784
1979-10-01,337.48785102680324,337.48785102680324,337.48785102680324,334.11286171572476,333.6220054759465,334.6141495680079,-3.3749893110784788
1979-11-01,337.619547658879,337.619547658879,337.619547658879,335.5298070640443,335.05315531012235,336.03856413265004,-2.0897405948347356
1979-12-01,337.74699642132083,337.74699642132083,337.74699642132083,336.7983289437096,336.294534808972,337.3779431815538,-0.9486674776112664
1980-01-01,337.8786934758441,337.8786934758441,337.8786934758441,337.86254367693573,337.320526154476,338.3720434725672,-0.016149798908367482
1980-02-01,338.0103905303673,338.0103905303673,338.0103905303673,338.62203853778027,338.09566485095576,339.13541365808874,0.6116480074129694
1980-03-01,338.1335910007278,338.1335910007278,338.1335910007278,339.5929591145263,339.1037203684138,340.10332413538595,1.4593681137985368
1980-04-01,338.265288055251,338.265288055251,338.265288055251,340.76981286784644,340.2570924325717,341.3028901725522,2.5045248125954163
1980-05-01,338.3927368176929,338.3927368176929,338.3927368176929,341.28807372313975,340.77267567881404,341.80336914313506,2.8953369054468414
1980-06-01,338.52443387221615,338.52443387221615,338.52443387221615,340.76175714596144,340.2574305061048,341.26848043311725,2.237323273745314
1980-07-01,338.65188263465797,338.65188263465797,338.65188263465797,339.4390716142858,338.98472468728403,339.9819740476777,0.7871889796278274
1980-08-01,338.7835796891812,338.7835796891812,338.7835796891812,337.4620511048751,336.90203476377957,337.9790112963985,-1.3215285843060811
1980-09-01,338.91527674370445,338.91527674370445,338.91527674370445,335.7812273571714,335.2751469652758,336.2832766260827,-3.134049386533023
1980-10-01,339.04272550614627,339.04272550614627,339.04272550614627,335.8460693664036,335.3915166252148,336.36699602791685,-3.1966561397426965
1980-11-01,339.17442256066954,339.17442256066954,339.17442256066954,337.07815239350515,336.53802597515266,337.5930250057751,-2.0962701671643855
